"Rank","NCT Number","Title","Status","Study Results","Conditions","Interventions","Sponsor/Collaborators","Study Type","Locations","Study Documents","URL"
1,"NCT04707534","Dexamethasone for COVID-19","Recruiting","No Results Available","Covid19","Drug: Dexamethasone","University of Oklahoma","Interventional","University of Oklahoma Medical Center, Oklahoma City, Oklahoma, United States",,"https://ClinicalTrials.gov/show/NCT04707534"
2,"NCT04372602","Duvelisib to Combat COVID-19","Recruiting","No Results Available","COVID-19","Drug: Duvelisib|Procedure: Peripheral blood draw|Drug: Placebo","Washington University School of Medicine|Verastem, Inc.","Interventional","Missouri Baptist Medical Center, Saint Louis, Missouri, United States|Washington University School of Medicine, Saint Louis, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT04372602"
3,"NCT04508777","COVID SAFE: COVID-19 Screening Assessment for Exposure","Enrolling by invitation","No Results Available","Covid19","Behavioral: Saliva-based testing","University of Pennsylvania","Observational","Penn Medicine, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04508777"
4,"NCT04593940","Immune Modulators for Treating COVID-19","Recruiting","No Results Available","Covid19","Drug: Infliximab|Drug: Abatacept|Drug: Remdesivir|Drug: cenicriviroc","Daniel Benjamin|National Center for Advancing Translational Science (NCATS)|Biomedical Advanced Research and Development Authority|Duke University","Interventional","University of Arkansas Medical Sciences, Little Rock, Arkansas, United States|Scripps Clinical Medical Group, La Jolla, California, United States|UCLA - Ronald Reagan Medical Center, Los Angeles, California, United States|Stanford University Medical Center, Palo Alto, California, United States|UCLA Medical Center- Santa Monica, Santa Monica, California, United States|Medstar Washington Hospital Center, Washington, District of Columbia, United States|University of Illinois at Chicago, Chicago, Illinois, United States|Northwestern University, Chicago, Illinois, United States|Loyola University Medical Center, Maywood, Illinois, United States|University of Iowa, Iowa City, Iowa, United States|University of Kansas, Kansas City, Kansas, United States|University of Kentucky, Lexington, Kentucky, United States|Tulane School of Medicine, New Orleans, Louisiana, United States|Ochsner Medical Center, New Orleans, Louisiana, United States|Johns Hopkins Medical Center, Baltimore, Maryland, United States|Boston Medical Center, Boston, Massachusetts, United States|The University of Massachusetts Memorial Medical Center, Worcester, Massachusetts, United States|MidMichigan Medical Center- Gratiot, Alma, Michigan, United States|MidMichigan Medical Center - Midland, Midland, Michigan, United States|University of Mississippi Medical Center, Jackson, Mississippi, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|Trinitas Hospital, Elizabeth, New Jersey, United States|Rutgers New Jersey Medical School, New Brunswick, New Jersey, United States|New York University Langone Medical Center, New York, New York, United States|Weill Cornell Medicine, New York, New York, United States|St Lawrence Health System, Potsdam, New York, United States|University of Rochester Medical Center-Strong Memorial Hospital, Rochester, New York, United States|University of North Carolina - Chapel Hill, Chapel Hill, North Carolina, United States|Duke University, Durham, North Carolina, United States|Wake Forest University, Winston-Salem, North Carolina, United States|Oregon Health and Science University, Portland, Oregon, United States|Avera McKennan Hospital, Sioux Falls, South Dakota, United States|University of Texas Health Science Center at San Antonio, San Antonio, Texas, United States|Trinity Mother Frances Hospital, Tyler, Texas, United States|University of Utah, Salt Lake City, Utah, United States|Virginia Commonwealth University Medical Center, Richmond, Virginia, United States|University of Washington Medical Center, Seattle, Washington, United States|Providence Medical Research Center, Spokane, Washington, United States|West Virginia University, Morgantown, West Virginia, United States|Gundersen Health System, La Crosse, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT04593940"
5,"NCT04510233","Ivermectin Nasal Spray for COVID19 Patients","Not yet recruiting","No Results Available","Covid19","Drug: Ivermectin nasal|Drug: Ivermectin oral|Other: standard care","Tanta University","Interventional",,,"https://ClinicalTrials.gov/show/NCT04510233"
6,"NCT04364698","Observational Cohort of COVID-19 Patients at Raymond-Poincare","Recruiting","No Results Available","COVID-19",,"Assistance Publique - Hôpitaux de Paris","Observational","Department of Infectiology, Raymond Poincaré Hospital, APHP, Garches, France",,"https://ClinicalTrials.gov/show/NCT04364698"
7,"NCT04422574","COVID 19 Serology in Pulmonologists","Completed","No Results Available","Covid 19",,"University Hospital, Montpellier","Observational","Uh Montpellier, Montpellier, France",,"https://ClinicalTrials.gov/show/NCT04422574"
8,"NCT04482621","Decitabine for Coronavirus (COVID-19) Pneumonia- Acute Respiratory Distress Syndrome (ARDS) Treatment: DART Trial","Recruiting","No Results Available","COVID-19","Drug: Decitabine|Other: Placebo Saline","Johns Hopkins University","Interventional","Johns Hopkins University, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04482621"
9,"NCT04649840","Estimation of Dynamics of Humoral and Cellular Immunity in COVID-19 Patients","Enrolling by invitation","No Results Available","Covid19","Diagnostic Test: Humoral and cellular immunity","Institute of Biophysics and Cell Engineering of National Academy of Sciences of Belarus|Belarusian State Medical University|The Republican Research and Practical Center for Epidemiology and Microbiology","Observational","Institute of Biophysics and Cell Engineering of National Academy of Sciences of Belarus, Minsk, Belarus",,"https://ClinicalTrials.gov/show/NCT04649840"
10,"NCT04459637","COVID-19 Surveillance Based on Smart Wearable Device","Not yet recruiting","No Results Available","COVID-19",,"Peking University First Hospital","Observational","Peking University First Hospital, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04459637"
