,study_id,title,type,enrollment_category,enrollment_subcategory,enrollment_value,category,category,group,group_description,value
0,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,milestone,milestone,P1,Placebo,521
1,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,milestone,milestone,P2,Remdesivir,541
2,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,milestone,milestone,P1,Placebo,517
3,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,milestone,milestone,P2,Remdesivir,531
4,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,milestone,milestone,P1,Placebo,508
5,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,milestone,milestone,P2,Remdesivir,517
6,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,milestone,milestone,P1,Placebo,13
7,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,milestone,milestone,P2,Remdesivir,24
8,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,withdrawal reason,withdrawal reason,P1,Placebo,4
9,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,withdrawal reason,withdrawal reason,P2,Remdesivir,10
10,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,withdrawal reason,withdrawal reason,P1,Placebo,1
11,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,withdrawal reason,withdrawal reason,P2,Remdesivir,0
12,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,withdrawal reason,withdrawal reason,P1,Placebo,7
13,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,withdrawal reason,withdrawal reason,P2,Remdesivir,9
14,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,withdrawal reason,withdrawal reason,P1,Placebo,0
15,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,withdrawal reason,withdrawal reason,P2,Remdesivir,4
16,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,withdrawal reason,withdrawal reason,P1,Placebo,1
17,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,withdrawal reason,withdrawal reason,P2,Remdesivir,1
18,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,age,age,B1,Placebo,0
19,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,age,age,B2,Remdesivir,0
20,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,age,age,B3,Total,0
21,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,age,age,B1,Placebo,324
22,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,age,age,B2,Remdesivir,354
23,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,age,age,B3,Total,678
24,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,age,age,B1,Placebo,197
25,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,age,age,B2,Remdesivir,187
26,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,age,age,B3,Total,384
27,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,"sex: female, male","sex: female, male",B1,Placebo,189
28,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,"sex: female, male","sex: female, male",B2,Remdesivir,189
29,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,"sex: female, male","sex: female, male",B3,Total,378
30,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,"sex: female, male","sex: female, male",B1,Placebo,332
31,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,"sex: female, male","sex: female, male",B2,Remdesivir,352
32,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,"sex: female, male","sex: female, male",B3,Total,684
33,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,ethnicity (nih/omb),ethnicity (nih/omb),B1,Placebo,116
34,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,ethnicity (nih/omb),ethnicity (nih/omb),B2,Remdesivir,134
35,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,ethnicity (nih/omb),ethnicity (nih/omb),B3,Total,250
36,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,ethnicity (nih/omb),ethnicity (nih/omb),B1,Placebo,373
37,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,ethnicity (nih/omb),ethnicity (nih/omb),B2,Remdesivir,382
38,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,ethnicity (nih/omb),ethnicity (nih/omb),B3,Total,755
39,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,ethnicity (nih/omb),ethnicity (nih/omb),B1,Placebo,32
40,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,ethnicity (nih/omb),ethnicity (nih/omb),B2,Remdesivir,25
41,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,ethnicity (nih/omb),ethnicity (nih/omb),B3,Total,57
42,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,race (nih/omb),race (nih/omb),B1,Placebo,3
43,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,race (nih/omb),race (nih/omb),B2,Remdesivir,4
44,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,race (nih/omb),race (nih/omb),B3,Total,7
45,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,race (nih/omb),race (nih/omb),B1,Placebo,56
46,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,race (nih/omb),race (nih/omb),B2,Remdesivir,79
47,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,race (nih/omb),race (nih/omb),B3,Total,135
48,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,race (nih/omb),race (nih/omb),B1,Placebo,2
49,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,race (nih/omb),race (nih/omb),B2,Remdesivir,2
50,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,race (nih/omb),race (nih/omb),B3,Total,4
51,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,race (nih/omb),race (nih/omb),B1,Placebo,117
52,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,race (nih/omb),race (nih/omb),B2,Remdesivir,109
53,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,race (nih/omb),race (nih/omb),B3,Total,226
54,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,race (nih/omb),race (nih/omb),B1,Placebo,287
55,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,race (nih/omb),race (nih/omb),B2,Remdesivir,279
56,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,race (nih/omb),race (nih/omb),B3,Total,566
57,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,race (nih/omb),race (nih/omb),B1,Placebo,1
58,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,race (nih/omb),race (nih/omb),B2,Remdesivir,2
59,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,race (nih/omb),race (nih/omb),B3,Total,3
60,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,race (nih/omb),race (nih/omb),B1,Placebo,55
61,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,race (nih/omb),race (nih/omb),B2,Remdesivir,66
62,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,race (nih/omb),race (nih/omb),B3,Total,121
63,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B1,Placebo,19
64,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B2,Remdesivir,14
65,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B3,Total,33
66,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B1,Placebo,12
67,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B2,Remdesivir,9
68,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B3,Total,21
69,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B1,Placebo,7
70,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B2,Remdesivir,9
71,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B3,Total,16
72,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B1,Placebo,410
73,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B2,Remdesivir,427
74,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B3,Total,837
