,study_id,category,subcategory,value,title,design
0,0,eligibility,gender,All,Adaptive COVID-19 Treatment Trial (ACTT),Interventional
0,0,eligibility,minimum_age,18 Years,Adaptive COVID-19 Treatment Trial (ACTT),Interventional
0,0,eligibility,maximum_age,99 Years,Adaptive COVID-19 Treatment Trial (ACTT),Interventional
0,0,eligibility,healthy_volunteers,No,Adaptive COVID-19 Treatment Trial (ACTT),Interventional
0,0,study_design_info,allocation,Randomized,Adaptive COVID-19 Treatment Trial (ACTT),Interventional
0,0,study_design_info,intervention_model,Parallel Assignment,Adaptive COVID-19 Treatment Trial (ACTT),Interventional
0,0,study_design_info,primary_purpose,Treatment,Adaptive COVID-19 Treatment Trial (ACTT),Interventional
0,0,study_design_info,masking,"Double (Participant, Investigator)",Adaptive COVID-19 Treatment Trial (ACTT),Interventional
0,1,eligibility,gender,All,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Interventional
0,1,eligibility,minimum_age,12 Years,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Interventional
0,1,eligibility,maximum_age,N/A,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Interventional
0,1,eligibility,healthy_volunteers,No,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Interventional
0,1,study_design_info,allocation,Randomized,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Interventional
0,1,study_design_info,intervention_model,Parallel Assignment,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Interventional
0,1,study_design_info,primary_purpose,Treatment,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Interventional
0,1,study_design_info,masking,None (Open Label),Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Interventional
0,2,eligibility,gender,All,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Interventional
0,2,eligibility,minimum_age,12 Years,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Interventional
0,2,eligibility,maximum_age,N/A,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Interventional
0,2,eligibility,healthy_volunteers,No,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Interventional
0,2,study_design_info,allocation,Randomized,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Interventional
0,2,study_design_info,intervention_model,Parallel Assignment,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Interventional
0,2,study_design_info,primary_purpose,Treatment,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Interventional
0,2,study_design_info,masking,None (Open Label),Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Interventional
0,3,eligibility,study_pop,"
      ",Methylprednisolone for Patients With COVID-19 Severe Acute Respiratory Syndrome,Observational [Patient Registry]
0,3,eligibility,sampling_method,Non-Probability Sample,Methylprednisolone for Patients With COVID-19 Severe Acute Respiratory Syndrome,Observational [Patient Registry]
0,3,eligibility,gender,All,Methylprednisolone for Patients With COVID-19 Severe Acute Respiratory Syndrome,Observational [Patient Registry]
0,3,eligibility,minimum_age,18 Years,Methylprednisolone for Patients With COVID-19 Severe Acute Respiratory Syndrome,Observational [Patient Registry]
0,3,eligibility,maximum_age,80 Years,Methylprednisolone for Patients With COVID-19 Severe Acute Respiratory Syndrome,Observational [Patient Registry]
0,3,eligibility,healthy_volunteers,No,Methylprednisolone for Patients With COVID-19 Severe Acute Respiratory Syndrome,Observational [Patient Registry]
0,3,study_design_info,observational_model,Cohort,Methylprednisolone for Patients With COVID-19 Severe Acute Respiratory Syndrome,Observational [Patient Registry]
0,3,study_design_info,time_perspective,Prospective,Methylprednisolone for Patients With COVID-19 Severe Acute Respiratory Syndrome,Observational [Patient Registry]
0,4,eligibility,gender,All,The PATCH Trial (Prevention And Treatment of COVID-19 With Hydroxychloroquine),Interventional
0,4,eligibility,minimum_age,18 Years,The PATCH Trial (Prevention And Treatment of COVID-19 With Hydroxychloroquine),Interventional
0,4,eligibility,maximum_age,N/A,The PATCH Trial (Prevention And Treatment of COVID-19 With Hydroxychloroquine),Interventional
0,4,eligibility,healthy_volunteers,Accepts Healthy Volunteers,The PATCH Trial (Prevention And Treatment of COVID-19 With Hydroxychloroquine),Interventional
0,4,study_design_info,allocation,Randomized,The PATCH Trial (Prevention And Treatment of COVID-19 With Hydroxychloroquine),Interventional
0,4,study_design_info,intervention_model,Parallel Assignment,The PATCH Trial (Prevention And Treatment of COVID-19 With Hydroxychloroquine),Interventional
0,4,study_design_info,intervention_model_description,There are 3 cohorts. All partcipants in of each the cohorts are randomized to one of two arms,The PATCH Trial (Prevention And Treatment of COVID-19 With Hydroxychloroquine),Interventional
0,4,study_design_info,primary_purpose,Treatment,The PATCH Trial (Prevention And Treatment of COVID-19 With Hydroxychloroquine),Interventional
0,4,study_design_info,masking,"Triple (Participant, Care Provider, Investigator)",The PATCH Trial (Prevention And Treatment of COVID-19 With Hydroxychloroquine),Interventional
0,4,study_design_info,masking_description,Cohorts 1 and 3 are double-blind placebo control cohorts. Cohort 2 is an open label randomized study,The PATCH Trial (Prevention And Treatment of COVID-19 With Hydroxychloroquine),Interventional
0,5,eligibility,gender,All,Bidirectional Oxygenation Valve in the Management of Pulmonary Complications of COVID-19,Interventional
0,5,eligibility,minimum_age,18 Years,Bidirectional Oxygenation Valve in the Management of Pulmonary Complications of COVID-19,Interventional
0,5,eligibility,maximum_age,N/A,Bidirectional Oxygenation Valve in the Management of Pulmonary Complications of COVID-19,Interventional
0,5,eligibility,healthy_volunteers,No,Bidirectional Oxygenation Valve in the Management of Pulmonary Complications of COVID-19,Interventional
